label,ftu_purl,ftu_id,ftu_label
white_pulp,https://purl.humanatlas.io/2d-ftu/spleen-white-pulp,UBERON:0001959,white pulp of spleen
crypt_villus,https://purl.humanatlas.io/2d-ftu/small-intestine-villus,UBERON:0001213,intestinal villus
