iri,dataset_id,hubmap_id,uuid,tissue,modality
https://entity.api.hubmapconsortium.org/entities/b38730b2633e0b088619f9bcd514ba13,HBM233_GTZN_466,HBM233.GTZN.466,b38730b2633e0b088619f9bcd514ba13,intestine,codex
https://entity.api.hubmapconsortium.org/entities/a61523fefe63ff37760a30ff34e53b5f,HBM236_WBFT_443,HBM236.WBFT.443,a61523fefe63ff37760a30ff34e53b5f,intestine,codex
https://entity.api.hubmapconsortium.org/entities/a61523fefe63ff37760a30ff34e53b5f,HBM236_WBFT_443_reg002,HBM236.WBFT.443,a61523fefe63ff37760a30ff34e53b5f,intestine,codex
https://entity.api.hubmapconsortium.org/entities/a61523fefe63ff37760a30ff34e53b5f,HBM236_WBFT_443_reg003,HBM236.WBFT.443,a61523fefe63ff37760a30ff34e53b5f,intestine,codex
https://entity.api.hubmapconsortium.org/entities/a61523fefe63ff37760a30ff34e53b5f,HBM236_WBFT_443_reg004,HBM236.WBFT.443,a61523fefe63ff37760a30ff34e53b5f,intestine,codex
https://entity.api.hubmapconsortium.org/entities/aedc30c204870180673b6ece299f2eb1,HBM244_TJLK_223,HBM244.TJLK.223,aedc30c204870180673b6ece299f2eb1,spleen,codex
https://entity.api.hubmapconsortium.org/entities/168050d20802e0c0d91fd5f51ce550da,HBM244_TVNH_734,HBM244.TVNH.734,168050d20802e0c0d91fd5f51ce550da,intestine,codex
https://entity.api.hubmapconsortium.org/entities/bc68fe67a089ab19c1449de6d0703d71,HBM245_NHMB_685,HBM245.NHMB.685,bc68fe67a089ab19c1449de6d0703d71,intestine,codex
https://entity.api.hubmapconsortium.org/entities/ac169bbda02d0c2832c01f70375ff6dc,HBM253_MXKW_373,HBM253.MXKW.373,ac169bbda02d0c2832c01f70375ff6dc,intestine,codex
https://entity.api.hubmapconsortium.org/entities/03043e079260d180099579045f16cd53,HBM267_BZKT_867,HBM267.BZKT.867,03043e079260d180099579045f16cd53,spleen,codex
https://entity.api.hubmapconsortium.org/entities/6bdd149dc47782aefdd0e23599708183,HBM292_FCMS_497,HBM292.FCMS.497,6bdd149dc47782aefdd0e23599708183,intestine,codex
https://entity.api.hubmapconsortium.org/entities/c92332aa7e244be5bad1c27c80fcd343,HBM293_LGZW_236,HBM293.LGZW.236,c92332aa7e244be5bad1c27c80fcd343,intestine,codex
https://entity.api.hubmapconsortium.org/entities/47b8410d1c51b23e7fb1a721c53a493f,HBM334_RPTP_997,HBM334.RPTP.997,47b8410d1c51b23e7fb1a721c53a493f,intestine,codex
https://entity.api.hubmapconsortium.org/entities/f0c58e670ceb445e6ab02c6a20c83aee,HBM337_FSXL_564,HBM337.FSXL.564,f0c58e670ceb445e6ab02c6a20c83aee,spleen,codex
https://entity.api.hubmapconsortium.org/entities/2b57ac6fea7aa96d26d2685a297a4e7a,HBM342_FSLD_938,HBM342.FSLD.938,2b57ac6fea7aa96d26d2685a297a4e7a,spleen,codex
